Disposition Score,Not Transit-Like FPF,Stellar Eclipse FPF,Centroid Offset FPF,Ephemeris Contamination FPF,Impact Parameter Lower,Planetary Radius,Stellar Effective Temperature,Stellar Surface Gravity Lower,Disposition Using Kepler Data
1.0,0,0,0,0,-0.045,5.39,5815.0,-0.212,0
0.876,0,0,0,0,-0.663,2.66,5653.0,-0.188,0
1.0,0,0,0,0,-0.58,3.01,5015.0,-0.06,0
1.0,0,0,0,0,-0.663,3.01,5015.0,-0.06,0
1.0,0,0,0,0,-0.438,2.19,5251.0,-0.085,0
1.0,0,0,0,0,-0.427,2.31,4702.0,-0.027,0
0.999,0,0,0,0,-0.26,2.64,4702.0,-0.027,0
1.0,0,0,0,0,-0.377,6.21,6073.0,-0.217,0
1.0,0,0,0,0,-0.023,4.35,5727.0,-0.12,0
1.0,0,0,0,0,-0.541,3.75,5878.0,-0.196,0
0.985,0,0,0,0,-0.003,13.84,5862.0,-0.176,0
0.942,0,0,0,0,-0.309,7.59,5510.0,-0.105,0
0.0,0,1,1,0,-0.102,26.82,4968.0,-0.044,1
0.912,0,0,0,0,-0.505,2.29,5718.0,-0.016,0
1.0,0,0,0,0,-0.029,2.47,5501.0,-0.168,0
1.0,0,0,0,0,-0.613,3.68,5239.0,-0.09,0
0.998,0,0,0,0,-0.008,10.59,4245.0,-0.018,0
1.0,0,0,0,0,-0.02,2.56,5103.0,-0.052,0
1.0,0,0,0,0,-0.035,3.03,5103.0,-0.052,0
1.0,0,0,0,0,-0.377,2.32,5103.0,-0.052,0
0.996,0,0,0,0,-0.018,1.94,3593.0,-0.027,0
0.974,0,0,0,0,-0.029,11.38,5522.0,-0.112,0
0.994,0,0,0,0,-0.003,14.21,6122.0,-0.208,0
1.0,0,0,0,0,-0.347,2.47,5237.0,-0.112,0
0.959,0,0,0,0,-0.035,8.2,5626.0,-0.036,0
0.994,0,0,0,0,-0.689,2.28,5237.0,-0.112,0
0.0,0,0,0,0,-0.119,19.02,5697.0,-0.182,0
0.0,0,1,1,1,-0.23,2.66,4947.0,-0.056,1
1.0,0,0,0,0,-0.127,1.41,5265.0,-0.081,0
0.0,0,1,0,0,-0.041,14.62,5532.0,-0.13,1
1.0,0,0,0,0,-0.026,2.62,5895.0,-0.2,0
1.0,0,0,0,0,-0.196,3.11,5527.0,-0.112,0
1.0,0,0,0,0,-0.383,2.69,5527.0,-0.112,0
1.0,0,0,0,0,-0.633,2.67,5527.0,-0.112,0
1.0,0,0,0,0,-0.076,8.98,5453.0,-0.108,0
0.987,0,0,0,0,-0.01,7.78,5626.0,-0.036,0
0.0,0,1,1,0,-0.043,4.37,6126.0,-0.208,1
1.0,0,0,0,0,-0.03,3.91,5427.0,-0.088,0
0.983,0,0,0,0,-0.183,5.51,5427.0,-0.088,0
1.0,0,0,0,0,-0.209,2.43,5427.0,-0.088,0
1.0,0,0,0,0,-0.311,1.86,5427.0,-0.088,0
1.0,0,0,0,0,-0.036,3.07,5067.0,-0.048,0
1.0,0,0,0,0,-0.06,1.69,5103.0,-0.052,0
1.0,0,0,0,0,-0.17,1.73,4072.0,-0.028,0
1.0,0,0,0,0,-0.008,1.65,4072.0,-0.028,0
0.0,0,0,0,0,-0.072,22.94,5875.0,-0.144,0
0.573,0,1,0,0,-0.668,2.41,5670.0,-0.13,1
1.0,0,0,0,0,-0.073,8.46,5149.0,-0.036,0
1.0,0,0,0,0,-0.429,1.97,5149.0,-0.036,0
1.0,0,0,0,0,-0.025,2.36,5754.0,-0.11,0
1.0,0,0,0,0,-0.448,2.35,4986.0,-0.025,0
0.997,0,0,0,0,-0.387,1.55,4986.0,-0.025,0
1.0,0,0,0,0,-0.311,2.62,3837.0,-0.094,0
0.0,0,1,0,0,-1.351,588.66,5612.0,-0.152,1
1.0,0,0,0,0,-0.327,2.33,4261.0,-0.02,0
1.0,0,0,0,0,-0.286,2.18,4261.0,-0.02,0
0.998,0,0,0,0,-0.505,1.42,4261.0,-0.02,0
0.0,0,1,1,1,-0.215,63.66,6200.0,-0.075,1
1.0,0,0,0,0,-0.538,3.16,4919.0,-0.048,0
1.0,0,0,0,0,-0.576,2.54,5945.0,-0.027,0
