Disposition Score,Not Transit-Like FPF,Stellar Eclipse FPF,Centroid Offset FPF,Ephemeris Contamination FPF,Orbital Period,Transit Duration Upper,Transit Depth,Stellar Effective Temperature,Stellar Surface Gravity,Stellar Surface Gravity Upper ,Stellar Radius Upper,Disposition Using Kepler Data
1.0,0,0,0,0,10.181584,0.0331,5740.0,5988.0,4.541,0.048,0.234,0
1.0,0,0,0,0,20.06036336,0.0754,1490.0,3950.0,4.754,0.042,0.033,0
1.0,0,0,0,0,46.1842039,0.13,1390.0,3950.0,4.754,0.042,0.033,0
0.952,0,0,0,0,23.9800854,0.177,104.0,5854.0,4.406,0.09,0.154,0
0.994,0,0,0,0,7.82502168,0.12,521.0,3950.0,4.754,0.042,0.033,0
1.0,0,0,0,0,3.895936525,0.0302,8540.0,5557.0,4.592,0.034,0.161,0
0.999,0,0,0,0,22.36646466,0.122,987.0,5395.0,4.615,0.032,0.122,0
1.0,0,0,0,0,1.625522174,0.00338,7970.0,5539.0,4.322,0.137,0.161,0
1.0,0,0,0,0,19.62034692,0.0292,21700.0,5710.0,4.492,0.048,0.121,0
0.0,1,0,1,0,7.544039,0.731,323.0,5657.0,4.567,0.038,0.194,1
1.0,0,0,0,0,9.02930689,0.0528,1020.0,5349.0,4.526,0.063,0.141,0
0.053,0,1,0,0,10.32803571,0.0272,16900.0,5627.0,4.359,0.18,0.28,1
1.0,0,0,0,0,143.2063047,0.0961,10600.0,5485.0,4.556,0.014,0.079,0
0.95,0,0,0,0,6.164876,0.186,55.8,5854.0,4.406,0.09,0.154,0
0.745,0,0,0,0,60.32494216,0.0327,20300.0,5485.0,4.556,0.014,0.079,0
1.292882983041325,0,0,0,0,29.1598615,0.2,488.0,5485.0,4.556,0.014,0.092,0
0.0,0,0,1,1,1.540397253,0.0846,816.0,5663.0,4.53,0.036,0.265,1
0.0,0,0,1,1,2.99025443,0.113,589.0,4667.0,4.578,0.048,0.042,1
1.0,0,0,0,0,1.594745374,0.0106,15000.0,5934.0,4.491,0.065,0.244,0
1.0,0,0,0,0,4.783002698,0.0332,1010.0,5170.0,4.574,0.026,0.111,0
1.0,0,0,0,0,20.50588921,0.0481,2110.0,4905.0,4.544,0.072,0.063,0
1.0,0,0,0,0,3.340218842,0.0318,1630.0,3950.0,4.754,0.042,0.033,0
0.0,0,1,1,0,2.507089906,0.0427,1340.0,5926.0,4.506,0.054,0.297,1
1.0,0,0,0,0,18.64932728,0.0687,894.0,5775.0,4.405,0.066,0.161,0
1.0,0,0,0,0,4.90144976,0.0585,141.0,5847.0,4.191,0.02,0.063,0
0.998,0,0,0,0,9.75192101,0.181,418.0,5775.0,4.405,0.066,0.161,0
1.0,0,0,0,0,38.5576546,0.199,993.0,5775.0,4.405,0.066,0.161,0
0.99,0,0,0,0,3.525632539,0.00079,22300.0,5150.0,4.572,0.02,0.062,0
1.0,0,0,0,0,34.84398644,0.0702,4520.0,5509.0,4.482,0.081,0.196,0
1.0,0,0,0,0,7.748094239,0.043,2470.0,5973.0,4.439,0.052,0.334,0
1.0,0,0,0,0,23.96793669,0.113,1180.0,3747.0,4.728,0.042,0.03,0
0.995,0,0,0,0,8.29561738,0.0773,824.0,3747.0,4.728,0.042,0.03,0
1.0,0,0,0,0,8.11437482,0.0447,1560.0,3692.0,4.753,0.032,0.035,0
0.0,0,1,0,0,38.03672948,0.00645,82900.0,5575.0,4.521,0.038,0.179,1
0.0,0,0,0,0,4.64090031,0.274,2450.0,6463.0,4.5,0.087,0.159,0
0.0,0,1,1,1,3.747838198,0.0445,616.0,5514.0,4.569,0.029,0.188,1
0.992,0,0,0,0,14.74914825,0.044,430.0,5847.0,4.191,0.02,0.063,0
1.0,0,0,0,0,21.81295996,0.091,1180.0,5601.0,4.41,0.116,0.269,0
0.0,0,1,0,0,7.91936937,0.0209,15100.0,5690.0,4.588,0.04,0.195,1
0.789972056671793,0,0,0,0,1.028436523,0.034,8100.0,6228.0,4.428,0.077,0.377,0
1.0,0,0,0,0,15.37562369,0.0645,15300.0,4986.0,4.496,0.075,0.033,0
1.0,0,0,0,0,8.10363271,0.0635,888.0,4861.0,4.574,0.054,0.062,0
1.0,0,0,0,0,4.71510843,0.103,418.0,4861.0,4.574,0.054,0.062,0
1.0,0,0,0,0,6.365839713,0.0408,781.0,5776.0,4.554,0.042,0.212,0
0.037,0,0,1,0,5.97581754,0.185,962.0,6108.0,4.471,0.054,0.341,1
0.0,0,0,1,1,2.446737317,0.0546,1180.0,5764.0,4.548,0.035,0.227,1
1.0,0,0,0,0,3.04033046,0.0168,10900.0,5035.0,4.519,0.084,0.071,0
1.0,0,0,0,0,15.33528675,0.0771,3080.0,5251.0,4.581,0.01,0.08,0
0.998,0,0,0,0,7.95825328,0.229,50.0,5847.0,4.191,0.02,0.063,0
1.0,0,0,0,0,31.33046135,0.102,5070.0,5251.0,4.581,0.01,0.08,0
0.006,0,1,0,0,3.9043425,0.0271,16200.0,5810.0,4.526,0.05,0.26,1
0.0,0,1,0,0,9.286358079,0.00533,44800.0,5670.0,4.523,0.066,0.189,1
0.0,0,1,0,0,3.951405455,0.0267,2450.0,6046.0,4.539,0.048,0.247,1
0.999,0,0,0,0,23.65369415,0.021,3340.0,5739.0,4.191,0.162,0.242,0
0.996,0,0,0,0,13.23352214,0.0875,505.0,5739.0,4.191,0.162,0.242,0
0.997,0,0,0,0,6.15560285,0.0994,285.0,5739.0,4.191,0.162,0.242,0
1.0,0,0,0,0,2.090811305,0.106,116.0,5739.0,4.191,0.162,0.242,0
0.995,0,0,0,0,3.180027898,0.0558,120.0,5847.0,4.191,0.02,0.063,0
0.989,0,0,0,0,50.4467417,0.247,370.0,5739.0,4.191,0.162,0.242,0
1.0,0,0,0,0,11.76307164,0.05,1040.0,4959.0,4.603,0.011,0.054,0
0.878,0,0,0,0,56.2279271,0.134,863.0,4959.0,4.603,0.011,0.054,0
0.0,0,1,1,1,2.384052875,0.0817,1270.0,4794.0,4.58,0.063,0.054,1
1.0,0,0,0,0,7.953547,0.0595,875.0,4768.0,4.536,0.056,0.023,0
1.0,0,0,0,0,4.14451656,0.0984,392.0,4768.0,4.536,0.056,0.023,0
0.0,0,1,0,0,4.859386384,0.0122,6040.0,6072.0,4.47,0.056,0.33,1
0.999,0,0,0,0,10.52629458,0.0257,9770.0,5386.0,4.553,0.056,0.143,0
1.0,0,0,0,0,4.583520948,0.0321,3810.0,5815.0,4.54,0.038,0.26,0
0.876,0,0,0,0,3.76181843,0.0901,511.0,5653.0,4.472,0.062,0.26,0
1.0,0,0,0,0,8.20396958,0.0529,1020.0,5015.0,4.499,0.09,0.066,0
1.0,0,0,0,0,14.49645186,0.305,648.0,5015.0,4.499,0.09,0.066,0
1.0,0,0,0,0,6.54626149,0.111,656.0,5251.0,4.581,0.01,0.08,0
1.0,0,0,0,0,12.71809866,0.0562,1150.0,4702.0,4.592,0.058,0.049,0
0.999,0,0,0,0,36.06588163,0.0634,1560.0,4702.0,4.592,0.058,0.049,0
1.0,0,0,0,0,4.190425659,0.0224,2880.0,6073.0,4.392,0.072,0.375,0
1.0,0,0,0,0,3.709870784,0.0265,2020.0,5727.0,4.463,0.04,0.146,0
1.0,0,0,0,0,16.3297527,0.112,1190.0,5878.0,4.444,0.084,0.291,0
0.985,0,0,0,0,27.80756622,0.00935,25400.0,5862.0,4.584,0.044,0.206,0
0.942,0,0,0,0,80.8723469,0.13,3600.0,5510.0,4.222,0.195,0.202,0
0.0,0,1,1,0,3.166465862,0.0327,4360.0,4968.0,4.575,0.072,0.065,1
0.912,0,0,0,0,24.99324319,0.0669,270.0,5718.0,4.181,0.018,0.064,0
1.0,0,0,0,0,10.35533116,0.0602,751.0,5501.0,4.462,0.084,0.217,0
1.0,0,0,0,0,16.08518937,0.0875,1440.0,5239.0,4.523,0.06,0.122,0
0.998,0,0,0,0,235.9986399,0.0606,20700.0,4245.0,4.627,0.03,0.022,0
1.0,0,0,0,0,7.49018305,0.0424,1120.0,5103.0,4.562,0.032,0.051,0
1.0,0,0,0,0,36.2761238,0.0756,1570.0,5103.0,4.562,0.032,0.051,0
1.0,0,0,0,0,17.46087931,0.0721,812.0,5103.0,4.562,0.032,0.051,0
0.996,0,0,0,0,56.0560754,0.132,1630.0,3593.0,4.757,0.054,0.03,0
0.974,0,0,0,0,41.40831669,0.0136,22800.0,5522.0,4.586,0.048,0.136,0
0.994,0,0,0,0,39.74893077,0.0213,15200.0,6122.0,4.487,0.052,0.303,0
1.0,0,0,0,0,5.715425977,0.0418,908.0,5237.0,4.572,0.028,0.124,0
0.959,0,0,0,0,49.18394185,0.051,1650.0,5626.0,3.907,0.04,0.125,0
0.994,0,0,0,0,20.0261412,0.195,421.0,5237.0,4.572,0.028,0.124,0
0.0,0,0,0,0,13.61014819,0.0194,5730.0,5697.0,4.46,0.098,0.234,0
0.0,0,1,1,1,10.44331991,0.505,1160.0,4947.0,4.516,0.077,0.059,1
1.0,0,0,0,0,2.237489571,0.0554,316.0,5265.0,4.58,0.014,0.073,0
0.0,0,1,0,0,5.851520671,0.00627,33000.0,5532.0,4.53,0.07,0.161,1
1.0,0,0,0,0,3.167893418,0.0324,781.0,5895.0,4.503,0.05,0.282,0
1.0,0,0,0,0,4.311780262,0.0314,1150.0,5527.0,4.484,0.04,0.115,0
1.0,0,0,0,0,20.0504494,0.0986,841.0,5527.0,4.484,0.04,0.115,0
1.0,0,0,0,0,9.76734503,0.0777,569.0,5527.0,4.484,0.04,0.115,0
1.0,0,0,0,0,119.0207044,0.0382,7430.0,5453.0,4.342,0.144,0.146,0
0.987,0,0,0,0,190.3200468,0.209,1140.0,5626.0,3.907,0.04,0.125,0
0.0,0,1,1,0,2.861159894,0.0878,1010.0,6126.0,4.458,0.052,0.324,1
1.0,0,0,0,0,26.44439337,0.0417,1840.0,5427.0,4.463,0.064,0.104,0
0.983,0,0,0,0,51.53997972,0.0438,3640.0,5427.0,4.463,0.064,0.104,0
1.0,0,0,0,0,5.902245782,0.0317,702.0,5427.0,4.463,0.064,0.104,0
1.0,0,0,0,0,2.382951591,0.0297,392.0,5427.0,4.463,0.064,0.104,0
1.0,0,0,0,0,21.02250608,0.0538,1770.0,5067.0,4.585,0.024,0.052,0
1.0,0,0,0,0,3.219814777,0.0392,488.0,5103.0,4.562,0.032,0.051,0
1.0,0,0,0,0,5.912273234,0.0296,961.0,4072.0,4.696,0.023,0.029,0
1.0,0,0,0,0,8.98581901,0.0413,881.0,4072.0,4.696,0.023,0.029,0
0.0,0,0,0,0,12.94066866,0.0165,42500.0,5875.0,4.572,0.036,0.174,0
0.573,0,1,0,0,20.5452375,0.0947,219.0,5670.0,4.206,0.241,0.298,1
1.0,0,0,0,0,33.60123371,0.0578,7430.0,5149.0,4.447,0.054,0.044,0
1.0,0,0,0,0,6.76652928,0.0546,451.0,5149.0,4.447,0.054,0.044,0
1.0,0,0,0,0,4.347288783,0.0502,452.0,5754.0,4.345,0.11,0.184,0
1.0,0,0,0,0,4.601811819,0.0367,756.0,4986.0,4.496,0.08,0.032,0
0.997,0,0,0,0,11.18719905,0.122,354.0,4986.0,4.496,0.08,0.032,0
1.0,0,0,0,0,4.220965778,0.0645,2260.0,3837.0,4.747,0.105,0.114,0
0.0,0,1,0,0,6.998099523,0.0142,20300.0,5612.0,4.566,0.038,0.181,1
1.0,0,0,0,0,5.95489993,0.0281,1410.0,4261.0,4.641,0.027,0.026,0
1.0,0,0,0,0,12.03987488,0.0411,1250.0,4261.0,4.641,0.027,0.026,0
0.998,0,0,0,0,20.83762895,0.0987,439.0,4261.0,4.641,0.027,0.026,0
0.0,0,1,1,1,8.8111022,0.0771,401.0,6200.0,3.8,0.225,0.339,1
1.0,0,0,0,0,23.58917143,0.325,1200.0,4919.0,4.566,0.072,0.069,0
1.0,0,0,0,0,6.481633073,0.0339,299.0,5945.0,4.213,0.033,0.058,0
1.0,0,0,0,0,10.37168928,0.0456,1250.0,5121.0,4.457,0.091,0.049,0
1.0,0,0,0,0,3.96996298,0.097,299.0,5121.0,4.457,0.091,0.049,0
1.0,0,0,0,0,4.40841331,0.106,549.0,6007.0,4.457,0.081,0.285,0
0.0,0,1,1,1,7.9426176,0.173,1590.0,5811.0,4.521,0.039,0.289,1
