Disposition Score,Not Transit-Like FPF,Stellar Eclipse FPF,Centroid Offset FPF,Ephemeris Contamination FPF,Transit Depth Upper,Insolation Flux Lower ,Stellar Radius Upper,Disposition Using Kepler Data
1.0,0,0,0,0,11.8,-54.78,0.073,0
0.0,0,1,0,0,26.1,-46.15,0.161,1
1.0,0,0,0,0,14.3,-150.76,0.282,0
1.0,0,0,0,0,15.0,-49.59,0.115,0
1.0,0,0,0,0,23.5,-6.39,0.115,0
1.0,0,0,0,0,31.7,-16.68,0.115,0
1.0,0,0,0,0,38.4,-1.34,0.146,0
0.987,0,0,0,0,8.5,-1.38,0.125,0
0.0,0,1,1,0,28.6,-244.21,0.324,1
1.0,0,0,0,0,22.2,-4.92,0.104,0
0.983,0,0,0,0,23.9,-2.02,0.104,0
1.0,0,0,0,0,12.8,-36.35,0.104,0
1.0,0,0,0,0,10.4,-121.98,0.104,0
1.0,0,0,0,0,32.1,-2.76,0.052,0
1.0,0,0,0,0,17.6,-39.02,0.051,0
1.0,0,0,0,0,17.2,-4.93,0.029,0
1.0,0,0,0,0,18.5,-2.83,0.029,0
0.0,0,0,0,0,198.0,-16.72,0.174,0
0.573,0,1,0,0,14.0,-38.29,0.298,1
1.0,0,0,0,0,33.2,-2.41,0.044,0
1.0,0,0,0,0,17.2,-20.46,0.044,0
1.0,0,0,0,0,13.2,-122.22,0.184,0
1.0,0,0,0,0,14.1,-30.96,0.032,0
0.997,0,0,0,0,17.5,-9.44,0.032,0
1.0,0,0,0,0,17.9,-16.05,0.114,0
0.0,0,1,0,0,128.0,-29.93,0.181,1
1.0,0,0,0,0,17.8,-6.17,0.026,0
1.0,0,0,0,0,23.5,-2.41,0.026,0
0.998,0,0,0,0,30.9,-1.16,0.026,0
0.0,0,1,1,1,6.1,-471.54,0.339,1
1.0,0,0,0,0,27.4,-3.85,0.069,0
1.0,0,0,0,0,2.7,-52.79,0.058,0
1.0,0,0,0,0,21.2,-13.96,0.049,0
1.0,0,0,0,0,24.5,-50.3,0.049,0
1.0,0,0,0,0,13.4,-131.06,0.285,0
0.0,0,1,1,1,40.4,-41.84,0.289,1
1.0,0,0,0,0,69.4,-0.11,0.052,0
0.0,0,1,0,0,244.0,-82.23,0.037,1
0.997,0,0,0,0,44.0,-39.88,0.072,0
1.0,0,0,0,0,18.8,-12.06,0.093,0
1.0,0,0,0,0,4.2,-25.81,0.091,0
0.0,0,0,0,0,28.2,-4.3,0.093,0
1.0,0,0,0,0,13.7,-48.36,0.093,0
1.0,0,0,0,0,29.3,-2.88,0.036,0
1.0,0,0,0,0,26.4,-1.67,0.036,0
0.986,0,0,0,0,42.9,-0.79,0.036,0
1.0,0,0,0,0,14.3,-47.15,0.289,0
0.0,0,1,0,0,16.9,-568.34,0.143,1
0.999,0,0,0,0,47.4,-13.87,0.045,0
1.0,0,0,0,0,18.0,-69.72,0.353,0
1.0,0,0,0,0,14.7,-43.02,0.318,0
0.635,0,0,0,0,11.2,-23.38,0.267,0
1.0,0,0,0,0,41.0,-4.37,0.107,0
0.966,0,0,0,0,54.8,-0.18,0.036,0
1.0,0,0,0,0,19.7,-64.02,0.208,0
1.0,0,0,0,0,18.9,-23.72,0.043,0
0.997,0,0,0,0,39.6,-0.81,0.043,0
0.415,0,0,0,0,4.6,-118.87,0.254,0
0.228,0,1,0,0,174.0,-143.45,0.271,1
1.0,0,0,0,0,22.5,-4.28,0.078,0
1.0,0,0,0,0,17.3,-15.12,0.078,0
1.0,0,0,0,0,17.9,-260.6,0.166,0
1.0,0,0,0,0,36.6,-2.58,0.032,0
1.0,0,0,0,0,27.7,-6.02,0.032,0
1.0,0,0,0,0,3.5,-10.86,0.058,0
1.0,0,0,0,0,41.4,-0.98,0.032,0
0.999,0,0,0,0,20.5,-2.73,0.045,0
0.999,0,0,0,0,15.6,-7.57,0.045,0
0.998,0,0,0,0,26.4,-0.98,0.045,0
1.0,0,0,0,0,31.5,-49.06,0.333,0
1.0,0,0,0,0,17.0,-152.43,0.28,0
0.999,0,0,0,0,45.6,-2.01,0.28,0
1.0,0,0,0,0,28.8,-8.24,0.109,0
1.0,0,0,0,0,30.1,-15.76,0.109,0
0.997,0,0,0,0,12.5,-61.38,0.181,0
1.0,0,0,0,0,13.9,-59.99,0.14,0
1.0,0,0,0,0,43.6,-0.47,0.043,0
1.0,0,0,0,0,21.8,-8.9,0.043,0
0.996,0,0,0,0,31.3,-3.09,0.043,0
0.0,0,0,1,0,26.5,-49.49,0.186,1
1.0,0,0,0,0,19.8,-17.72,0.033,0
1.0,0,0,0,0,35.7,-5.32,0.033,0
0.957,0,0,0,0,15.3,-36.7,0.033,0
1.0,0,0,0,0,18.5,-9.97,0.089,0
1.0,0,0,0,0,24.0,-4.47,0.089,0
1.0,0,0,0,0,13.2,-51.99,0.089,0
1.0,0,0,0,0,6.1,-35.02,0.254,0
1.0,0,0,0,0,44.1,-0.91,0.089,0
1.0,0,0,0,0,14.4,-211.73,0.325,0
0.0,0,0,1,1,84.0,-2.57,0.043,1
1.0,0,0,0,0,17.2,-29.06,0.106,0
1.0,0,0,0,0,13.9,-79.6,0.082,0
1.0,0,0,0,0,17.2,-112.73,0.375,0
0.0,0,1,1,1,10.1,-79.26,0.15,1
0.999,0,0,0,0,18.2,-163.96,0.292,0
0.0,0,0,1,1,13.2,-120.92,0.268,1
0.92,0,1,0,0,25.4,-2.04,0.118,1
0.0,0,1,0,0,43.7,-12.3,0.331,1
1.0,0,0,0,0,13.6,-114.75,0.266,0
0.0,0,1,0,0,26.2,-64.13,0.21,1
0.996,0,0,0,0,24.4,-2.55,0.059,0
0.0,0,1,0,0,43.1,-6.95,0.358,1
1.0,0,0,0,0,26.4,-4.65,0.127,0
1.0,0,0,0,0,21.3,-12.02,0.111,0
1.0,0,0,0,0,25.8,-5.65,0.111,0
1.0,0,0,0,0,18.4,-45.54,0.111,0
1.0,0,0,0,0,16.4,-67.88,0.19,0
0.0,0,1,0,0,26.6,-33.45,0.281,1
1.0,0,0,0,0,17.8,-61.41,0.277,0
1.0,0,0,0,0,42.8,-8.31,0.332,0
0.0,0,1,0,0,44.3,-17.31,0.312,1
1.0,0,0,0,0,13.4,-191.31,0.318,0
0.0,0,1,1,0,43.8,-13.23,0.291,1
1.0,0,0,0,0,9.9,-277.05,0.196,0
1.0,0,0,0,0,11.6,-134.02,0.196,0
1.0,0,0,0,0,8.3,-743.1,0.196,0
1.0,0,0,0,0,14.6,-59.95,0.196,0
1.0,0,0,0,0,8.1,-16.37,0.038,0
0.999,0,0,0,0,7.2,-74.65,0.059,0
0.0,0,1,1,0,34.5,-92.63,0.173,1
1.0,0,0,0,0,20.9,-67.24,0.156,0
0.998,0,0,0,0,26.0,-24.52,0.156,0
1.0,0,0,0,0,32.8,-14.17,0.156,0
1.0,0,0,0,0,17.5,-35.79,0.187,0
1.0,0,0,0,0,22.8,-13.79,0.187,0
0.973,0,0,0,0,27.4,-5.27,0.187,0
0.975,0,0,0,0,13.6,-100.36,0.187,0
0.953,0,0,0,0,19.8,-1.94,0.04,0
0.704,0,0,0,0,10.2,-45.33,0.04,0
0.996,0,0,0,0,6.7,-48.62,0.133,0
1.0,0,0,0,0,25.0,-7.35,0.221,0
1.0,0,0,0,0,20.5,-30.34,0.141,0
0.998,0,0,0,0,9.7,-614.41,0.141,0
0.949,0,0,0,0,19.8,-63.55,0.141,0
1.0,0,1,0,0,27.3,-47.04,0.201,1
1.0,0,0,0,0,17.4,-117.46,0.183,0
1.0,0,0,0,0,29.0,-37.96,0.183,0
0.999,0,0,0,0,12.7,-280.28,0.183,0
1.0,0,0,0,0,57.5,-4.26,0.41,0
1.0,0,0,0,0,9.2,-4.56,0.07,0
0.6752517825334929,0,0,0,0,27.7,-0.35,0.656,0
1.0,0,0,0,0,2.4,-528.86,0.138,0
0.965,0,0,0,0,21.8,-27.07,0.168,0
0.4640490828155099,1,0,0,1,7.8,-2940.16,0.419,1
0.0,0,1,0,0,5.8,-17030.52,1.035,1
0.0,0,1,0,0,36.6,-37.5,0.274,1
0.0,1,0,0,0,2.4,-4314.89,0.362,1
0.0,0,1,0,0,13.9,-40.37,0.353,1
0.0,0,0,0,0,21.8,-13457.76,1.869,0
1.0,0,0,0,0,132.60852394213495,-236607.72,0.788,0
0.0,0,1,1,0,8.1,-1350.21,0.189,1
0.0,0,0,1,1,5.1,-478.56,0.244,1
0.423854563625061,0,0,0,0,38.2,-1.61,0.349,1
0.0,0,0,1,0,5.6,-198.24,0.271,1
0.0,0,1,0,0,8.5,-4259.41,0.476,1
1.0,0,0,0,0,15.8,-1.02,0.213,0
0.0,0,1,1,0,23.8,-175.25,0.064,1
0.0,0,0,1,0,13.2,-2053.98,0.531,1
1.0,0,0,0,0,12.6,-60.87,0.184,0
0.989,0,0,0,0,18.3,-21.9,0.184,0
0.0,1,0,1,0,8.3,-909.69,0.251,1
1.0,0,0,0,0,16.5,-265.44,0.701,0
0.0,1,0,1,1,12.8,-9373.75,0.415,1
0.0,0,0,1,1,5.2,-494.54,0.312,1
0.0,0,0,0,0,46.8,0.0,0.039,0
0.994,0,0,0,0,6.1,-23.96,0.229,0
0.997,0,0,0,0,5.0,-54.09,0.229,0
0.998,0,0,0,0,31.3,-44.33,0.082,0
0.632,0,0,0,0,1.5,-1290.11,0.227,0
0.0,0,1,1,1,18.4,-163.58,0.3,1
0.0,0,0,0,0,1.3,-2569.52,0.227,0
0.999,0,0,0,0,3.1,-6.52,0.112,0
1.0,0,0,0,0,1.5,-366.72,0.118,0
0.0,0,1,0,0,174.0,-27.31,0.565,1
0.0,0,0,1,0,19.2,-18.94,0.054,1
0.0,0,1,1,1,6.6,-1157.64,0.181,1
1.0,0,0,0,0,5.6,-121.46,0.051,0
1.0,0,0,0,0,8.3,-41.3,0.051,0
1.0,0,0,0,0,14.9,-65.9,0.3,0
0.0,0,1,1,1,13.6,-502.55,0.46,1
0.993,0,0,0,0,6.5,-7977.74,0.701,0
1.0,0,0,0,0,9.9,-2007.41,0.701,0
0.5970209676432415,1,0,0,0,14.323628620680068,6971.938885116763,0.8758282578394897,1
0.995,0,0,0,0,11.7,-45.37,0.314,0
0.0,0,0,1,1,22.9,-21.5,0.235,1
0.752,0,0,0,0,21.1,-42.14,0.326,0
0.0,0,1,0,0,538.0,-64.68,0.118,1
0.0,0,1,0,0,63.7,-255.78,0.441,1
0.0,0,1,1,1,285.0,-82.41,0.268,1
0.0,0,1,0,0,25.8,-2.91,0.08,1
0.0,1,0,0,1,14.8,-1708.3,0.282,1
1.0,0,1,0,0,23.3,-34984.84,4.978,1
0.0,1,0,0,0,4.3,-206.57,0.305,1
0.0,0,1,0,0,13.3,-237326.16,20.714,1
0.0,0,1,0,0,10.8,-75.58,0.454,1
0.8973916193046227,1,0,0,0,7.0,-530.81,0.107,1
0.0,0,1,1,1,51.9,-73.46,0.053,1
0.0,0,0,0,0,79.7,-12.7,0.325,0
1.0,0,0,0,0,20.5,-26.5,0.156,0
0.945,0,0,0,0,15.2,-89.32,0.156,0
0.765,0,0,0,0,33.3,-4.19,0.156,0
0.815,0,0,0,0,39.6,-7.67,0.156,0
0.999,0,0,0,0,10.9,-669.43,0.161,0
0.931,0,0,0,0,18.2,-7.99,0.302,0
1.0,0,0,0,0,11.0,-17.4,0.207,0
0.912,0,0,0,0,15.0,-3.66,0.207,0
0.0,0,0,1,1,19.5,-82.81,0.287,1
0.989,0,0,0,0,8.0,-48.16,0.188,0
0.0,0,1,1,0,67.3,-41.16,0.276,1
0.0,0,1,1,1,31.2,-236.53,0.217,1
0.0,0,1,1,1,15.3,-162.78,0.055,1
0.0,0,1,1,0,15.2,-7549.72,0.463,1
0.0,0,1,1,0,38.8,-2.43,0.211,1
0.994,0,0,0,0,12.6,-9.97,0.247,0
0.5724563717799502,0,0,0,0,42.5,-422.47,1.28,1
0.711,0,0,0,0,49.7,-28.39,0.08,0
0.0,0,0,1,0,13.7,-232.91,0.179,1
1.0,0,0,0,0,14.7,-18.5,0.056,0
0.881,0,0,0,0,27.7,-0.95,0.056,0
1.0,0,0,0,0,4.0,-279.35,0.213,0
0.5908041933342357,1,0,0,0,17.2,-42182.54,3.211,1
0.0,0,1,1,1,25.5,-17.42,0.371,1
0.5459766532360424,0,0,0,0,4.5,-2346.7,0.687,1
0.0,0,0,1,1,1.3,-3960.18,0.313,1
0.0,0,1,1,0,57.1,-2.06,0.33,1
1.0,0,0,0,0,5.7,-94.92,0.149,0
1.0,0,0,0,0,4.4,-510.73,0.295,0
1.0,0,0,0,0,12.2,-69.08,0.168,0
0.0,0,0,0,1,2.4,-36.24,0.178,1
1.0,0,0,0,0,94.1,-1.74,0.25,0
1.0,0,0,0,0,53.6,-2.59,0.042,0
0.0,0,0,0,0,62.5,-1.26,0.042,0
0.999,0,0,0,0,39.3,-6.9,0.042,0
1.0,0,0,0,0,10.0,-23.47,0.247,0
1.0,0,0,0,0,6.0,-58.22,0.101,0
1.0,0,0,0,0,21.5,-7.64,0.055,0
1.0,0,0,0,0,31.7,-2.42,0.055,0
0.218300505948091,0,0,0,0,174.0,-1.24,0.366,1
0.0,0,0,1,1,10.8,-634.48,0.248,1
1.0,0,0,0,0,8.6,-267.02,0.088,0
1.0,0,0,1,0,19.6,-1.33,0.088,1
1.0,0,0,0,0,7.2,-647.56,0.118,0
1.0,0,0,0,0,8.9,-109.94,0.226,0
0.758,0,0,0,0,6.5,-381.5,0.226,0
1.0,0,0,0,0,12.0,-54.52,0.226,0
0.0,0,0,1,0,3.6,-15.75,0.178,1
0.0,0,1,0,0,103.0,-2.65,0.062,1
0.0,0,1,0,0,76.9,-21.41,0.164,1
0.0,0,1,1,0,12.3,-983.23,0.237,1
0.001,0,1,0,0,12.9,-918.8,0.295,1
0.0,0,1,1,1,24.8,-59.57,0.319,1
1.0,0,0,0,0,35.7,-0.49,0.046,0
0.3083282556413497,0,0,0,1,8.7,-3683.52,0.443,1
1.0,0,0,0,0,37.0,-10.56,0.045,0
0.99,0,0,0,0,20.5,-61.12,0.027,0
1.0,0,0,0,0,8.8,-60.44,0.247,0
0.999,0,0,0,0,37.4,-3.76,0.158,0
0.6498028407856683,0,0,0,0,68.1,-10.68,0.366,0
0.0014782534591767,0,0,0,0,77.8,-396.39,4.422,1
0.999,0,0,0,0,10.8,-17.09,0.12,0
0.848,0,0,0,0,16.4,-54.5,0.196,0
1.0,0,0,0,0,16.7,-8.92,0.234,0
0.884,0,0,0,0,7.6,-185.24,0.226,0
0.0,0,1,1,1,13.0,-402.86,0.803,1
1.0,0,0,0,0,17.8,-6.42,0.294,0
0.0,0,1,1,0,5.1,-295.46,0.505,1
0.0,0,1,0,0,136.0,-15.14,0.415,1
0.557,0,1,0,0,37.3,-3101.3,0.443,1
0.0,0,1,1,1,5.5,-3492.78,0.595,1
1.0,0,0,0,0,4.6,-37.22,0.065,0
0.0,0,1,0,0,38.1,-48.11,0.297,1
0.0,0,1,1,1,16.4,-6.92,0.141,1
1.0,0,0,0,0,19.3,-73.2,0.301,0
0.0,0,1,0,0,10.7,-527.62,0.152,1
0.0,0,0,1,0,20.1,-94.24,0.188,1
0.0,0,1,1,0,12.3,-1685.57,0.325,1
0.0,1,0,0,1,14.7,-1479.92,0.203,1
1.0,0,0,0,0,26.0,-20.22,0.121,0
0.3343876862985696,0,0,0,0,82.9,-0.07,0.375,0
1.0,0,0,0,0,14.1,-17.72,0.234,0
0.99,0,0,0,0,13.7,-78.24,0.124,0
0.0,0,1,1,1,19.1,-4.44,0.133,1
0.0,0,1,1,1,30.6,-3.45,0.107,1
0.4916630074894421,0,0,0,0,33.8,-91.68,0.356,1
0.0,0,1,0,0,39.3,-146.4,0.307,1
0.008,0,1,0,0,115.0,-182.46,0.349,1
1.0,0,0,0,0,26.4,-56.76,0.224,0
0.0,0,1,0,0,57.9,-1.75,0.24,1
0.0,0,1,1,1,23.6,-4606.92,0.809,1
1.0,0,0,0,0,16.0,-15.5,0.039,0
1.0,0,0,0,0,22.0,-41.73,0.301,0
1.0,0,0,0,0,15.7,-169.45,0.301,0
1.0,0,0,0,0,2.9,-273.88,0.093,0
1.0,0,0,0,0,19.5,-49.69,0.102,0
0.0,0,1,0,0,218.0,-160.21,0.26,1
0.0,0,0,1,1,83.5,-553.75,0.388,1
0.0,0,0,1,1,16.3,-395.71,0.241,1
0.0,0,1,1,0,10.1,-963.37,0.211,1
0.986,0,0,0,0,19.7,-50.36,0.225,0
0.994,0,0,0,0,17.2,-91.38,0.225,0
0.998,0,0,0,0,25.7,-17.42,0.225,0
0.487322468742739,0,0,0,0,34.10911067354779,56971.95465272844,1.6939040265113323,0
0.0,0,1,0,0,154.0,-1.12,0.209,1
1.0,0,0,0,0,35.3,-3.07,0.04,0
1.0,0,0,0,0,70.1,-0.76,0.04,0
0.0,0,0,1,0,3.1,-788.31,0.264,1
0.976,0,0,0,0,6.2,-42.76,0.35,0
1.0,0,0,0,0,12.2,-83.31,0.039,0
1.0,0,0,0,0,8.9,-68.35,0.105,0
1.0,0,0,0,0,19.2,-128.1,0.214,0
1.0,0,0,0,0,47.1,-3.11,0.214,0
0.4685362858629814,0,0,0,0,67.7,-2.07,0.451,0
0.0,0,1,1,1,87.5,-57.54,0.226,1
1.0,0,0,0,0,5.8,-14.54,0.065,0
0.0,1,0,1,1,116.0,-0.57,0.081,1
0.0,1,0,1,1,84.97107557787157,-14.77,0.4559669532284447,1
0.0,1,0,1,0,14.0,-3684.95,0.378,1
0.0,1,0,1,1,88.9402602274983,-11862.97,0.045,1
0.985,0,0,0,0,29.2,-11.14,0.158,0
0.829,0,0,0,0,60.5,-2.15,0.158,0
