Disposition Score,Not Transit-Like FPF,Stellar Eclipse FPF,Centroid Offset FPF,Ephemeris Contamination FPF,Orbital Period,Impact Parameter,Transit Duration Upper,Transit Duration Lower ,Planetary Radius Lower,Insolation Flux,TCE Delivery,Stellar Effective Temperature,Stellar Effective Temperature Lower,Stellar Surface Gravity,Stellar Surface Gravity Upper ,Stellar Radius,Stellar Radius Lower,Kepler-band,Disposition Using Kepler Data
1.0,0,0,0,0,7.21203748,0.012,0.058,-0.058,-0.36,260.58,0.0,6214.0,-239.0,4.442,0.054,1.076,-0.118,15.541,0
0.6733926317490925,0,0,0,1,14.1798187,0.1601,0.315,-0.315,-0.14,60.35,1.0,5799.0,-168.0,4.539,0.027,0.878,-0.065,15.727,1
1.0,0,0,0,0,8.47237911,0.022,0.0484,-0.0484,-0.22,75.44,0.0,5354.0,-159.0,4.587,0.032,0.788,-0.066,15.339,0
0.989,0,0,0,0,60.4189369,0.094,0.184,-0.184,-0.2,5.49,0.0,5354.0,-159.0,4.587,0.032,0.788,-0.066,15.339,0
1.0,0,0,0,0,12.61190435,0.55,0.0592,-0.0592,-0.73,76.15,0.0,5795.0,-173.0,4.508,0.039,0.919,-0.091,15.14,0
0.0,0,1,0,0,1.433769925,1.268,0.0232,-0.0232,-8.0,3209.29,0.0,6017.0,-90.0,4.22,0.156,1.339,-0.23,15.122,1
0.0,0,1,1,0,10.31872301,1.215,0.121,-0.121,-3.69,139.26,0.0,5927.0,-193.0,4.409,0.084,1.06,-0.137,15.065,1
1.0,0,0,0,0,2.539183147,0.238,0.0559,-0.0559,-0.28,743.09,0.0,5519.0,-74.0,4.35,0.126,1.062,-0.14,15.026,0
1.0,0,0,0,0,6.770300385,0.838,0.0454,-0.0454,-0.15,102.87,0.0,5653.0,-166.0,4.656,0.028,0.679,-0.037,15.591,0
0.0,0,1,1,1,0.444291966,1.258,0.0115,-0.0115,-1.73,2706.26,0.0,5255.0,-156.0,4.678,0.028,0.636,-0.04,15.748,1
1.0,0,0,0,0,10.181584,0.92,0.0331,-0.0331,-0.72,102.91,0.0,5988.0,-197.0,4.541,0.048,0.836,-0.078,15.657,0
1.0,0,0,0,0,20.06036336,0.556,0.0754,-0.0754,-0.16,4.0,0.0,3950.0,-86.0,4.754,0.042,0.493,-0.04,15.954,0
1.0,0,0,0,0,46.1842039,0.013,0.13,-0.13,-0.15,1.32,0.0,3950.0,-86.0,4.754,0.042,0.493,-0.04,15.954,0
