Disposition Score,Not Transit-Like FPF,Stellar Eclipse FPF,Centroid Offset FPF,Ephemeris Contamination FPF,Impact Parameter,mpact Parameter Upper,Impact Parameter Lower,Transit Duration Upper,Transit Depth Upper,Planetary Radius Lower,Equilibrium Temperature,Insolation Flux Lower ,TCE Planet Number,Stellar Effective Temperature,Stellar Effective Temperature Upper,Stellar Radius,Disposition Using Kepler Data
0.871,0,0,0,0,0.624,0.037,-0.476,0.407,3.4,-0.07,1272.0,-186.88,3.0,5779.0,104.0,1.087,0
1.0,0,0,0,0,0.679,0.187,-0.47,0.052,46.3,-0.29,396.0,-1.63,1.0,3688.0,73.0,0.473,0
1.0,0,0,0,0,0.39,0.065,-0.306,0.0306,14.9,-0.81,1015.0,-91.63,1.0,5992.0,162.0,0.989,0
1.0,0,0,0,0,0.547,0.052,-0.229,0.0681,11.5,-0.37,833.0,-28.97,1.0,5485.0,164.0,0.867,0
1.0,0,0,0,0,0.031,0.36,-0.031,0.0551,35.3,-0.12,393.0,-1.06,1.0,4077.0,81.0,0.56,0
1.0,0,0,0,0,0.628,0.003,-0.478,0.0393,39.2,-0.12,488.0,-2.5,2.0,4077.0,81.0,0.56,0
1.0,0,0,0,0,0.883,0.033,-0.64,0.0834,29.1,-0.23,677.0,-12.97,1.0,5557.0,166.0,0.75,0
0.998,0,0,0,0,0.852,0.039,-0.585,0.119,7.7,-0.3,531.0,-4.8,2.0,5854.0,105.0,1.012,0
0.0,0,1,1,0,1.213,11.28,-0.141,0.12,21.3,-1.89,1032.0,-70.67,1.0,5295.0,175.0,0.811,1
0.773,0,0,1,0,1.26,4.827,-0.043,0.0285,19.0,-4.83,1547.0,-486.6,1.0,5735.0,155.0,0.973,1
1.0,0,0,0,0,0.023,0.405,-0.023,0.0423,14.5,-0.34,1420.0,-309.76,1.0,6214.0,174.0,1.076,0
1.0,0,0,0,0,0.012,0.394,-0.012,0.058,19.5,-0.36,1025.0,-84.01,2.0,6214.0,174.0,1.076,0
0.6733926317490925,0,0,0,1,0.1601,0.2975,-0.16,0.315,51.9,-0.14,711.0,-14.34,1.0,5799.0,161.0,0.878,1
1.0,0,0,0,0,0.022,0.378,-0.022,0.0484,26.7,-0.22,751.0,-19.3,1.0,5354.0,159.0,0.788,0
0.989,0,0,0,0,0.094,0.359,-0.094,0.184,49.6,-0.2,390.0,-1.4,2.0,5354.0,159.0,0.788,0
