,Galaxy,RA,Dec,Type,BT,Ai,v,ɛ,classes,MainClass,SubClass,Class,ClassInt
364,NGC3147,10 12 40,73 39.0,S S3 1.8,11.45,0.5,2721.0,80.0,Sx,S,S3,Spiral,0
365,NGC3156,10 10 06,03 22.7,E 5 :,13.05,0.0,1174.0,58.0,E5,E,5,Elliptical,1
366,NGC3158,10 10 53,39 00.7,E 3,12.9,0.0,7024.0,50.0,E3,E,3,Elliptical,1
367,NGC3162,10 10 45,22 59.2,S S4 1.8,12.15,0.33,1303.0,9.0,Sx,S,S4,Spiral,0
368,NGC3166,10 11 10,03 40.5,S S1,11.52,0.82,1339.0,22.0,Sx,S,S1,Spiral,0
369,NGC3169,10 11 38,03 43.2,S R3 T 1.5,11.28,0.67,1240.0,18.0,Sx,S,R3,Spiral,0
370,NGC3175,10 12 24,-28 37.2,S S5 P 3.0:,12.2,0.38,1125.0,75.0,Sx,S,S5,Spiral,0
371,NGC3177,10 13 49,21 22.4,S S3 2.0,13.0,0.55,1309.0,19.0,Sx,S,S3,Spiral,0
372,NGC3184,10 15 17,41 40.0,S R5 2.2,10.43,0.29,589.0,6.0,Sx,S,R5,Spiral,0
373,NGC3185,10 14 54,21 56.3,SB S1,12.95,0.32,1237.0,19.0,SBx,SB,S1,Spiral,0
374,NGC3190,10 15 21,22 05.1,S 1,11.99,0.97,1469.0,22.0,Sx,S,1,Spiral,0
375,NGC3193,10 15 40,22 08.8,E 2,11.83,0.0,1392.0,24.0,E2,E,2,Elliptical,1
376,NGC3198,10 16 53,45 48.0,S T5 1.5,10.94,0.59,662.0,4.0,Sx,S,T5,Spiral,0
377,NGC3200,10 16 12,-17 43.9,S R3 1.0,-12.29,1.01,3567.0,48.0,Sx,S,R3,Spiral,0
378,NGC3203,10 17 14,-26 26.9,L 37,12.83,0.0,2424.0,38.0,S0,L,37,Irregular,2
379,NGC3223,10 19 21,-34 01.0,S S3 1.5,11.88,0.7,2911.0,138.0,Sx,S,S3,Spiral,0
380,NGC3226,10 20 43,20 09.2,L 11,12.3,0.0,1356.0,13.0,S0,L,11,Irregular,2
381,NGC3227,10 20 47,20 07.1,S S3 3.0,11.55,0.63,1198.0,6.0,Sx,S,S3,Spiral,0
382,NGC3241,10 22 01,-32 13.7,S R3 2.0,13.6,0.59,2874.0,148.0,Sx,S,R3,Spiral,0
383,NGC3245,10 24 30,28 45.8,L 15,11.69,0.0,1261.0,30.0,S0,L,15,Irregular,2
384,NGC3250,10 24 21,-39 41.4,E 3,12.17,0.0,2871.0,123.0,E3,E,3,Elliptical,1
385,NGC3254,10 26 32,29 44.9,S S3 2.0,12.2,1.02,1265.0,51.0,Sx,S,S3,Spiral,0
386,NGC3256,10 25 42,-43 38.9,S S3 P,11.98,0.75,2821.0,100.0,Sx,S,S3,Spiral,0
387,NGC3258,10 26 38,-35 21.0,E 1,12.76,0.0,2848.0,78.0,E1,E,1,Elliptical,1
388,NGC3259,10 29 05,65 18.1,S 3 3.0,-12.91,0.74,1866.0,77.0,Sx,S,3,Spiral,0
389,NGC3261,10 26 54,-44 24.0,SB T4 1.5,-12.16,0.38,2612.0,125.0,SBx,SB,T4,Spiral,0
